SPY Return,Portfolio P&L,VaR,VaR (Age-Weighted)
-0.02655927307235483,-26559.273072354827,44640.62241893241,64324.04682532861
0.006449138823338715,6449.138823338715,44640.62241893241,63922.151894982555
0.009129366764349686,9129.366764349686,44640.62241893241,63507.82722452271
0.013749109506831846,13749.109506831846,44640.62241893241,63080.68838899709
0.017110051958780684,17110.051958780685,44640.62241893241,62640.33907402224
0.0007491222860217099,749.1222860217099,44640.62241893241,62186.370708068775
-0.010015342306316295,-10015.342306316295,44640.62241893241,61718.36208337448
-0.0011643381222247774,-1164.3381222247774,44640.62241893241,61235.878965132935
-0.02990087622024992,-29900.87622024992,44640.62241893241,60738.47368859527
-0.03285841816196444,-32858.418161964444,44640.62241893241,60225.68474371108
0.0060070852015863185,6007.085201586318,44640.62241893241,59697.03634692324
0.02350182151944729,23501.82151944729,44640.62241893241,59152.037999719294
0.011121681922477124,11121.681922477124,44640.62241893241,58590.18403352966
-0.020586497484524992,-20586.497484524993,44640.62241893241,58010.95314055064
0.00782892902046659,7828.92902046659,44640.62241893241,57413.80789005682
-0.025306760640899557,-25306.760640899556,44640.62241893241,56798.19422975391
-0.028870572488773966,-28870.572488773967,44640.62241893241,56163.54097170968
0.021686187513514154,21686.187513514153,44640.62241893241,55509.25926238572
0.01834590173609608,18345.901736096082,44640.62241893241,54834.74203627855
0.017929543571302824,17929.543571302824,44640.62241893241,54139.36345266291
-0.006718371523439557,-6718.371523439557,44640.62241893241,53422.47831491482
0.03289854256451224,32898.54256451224,44640.62241893241,52683.42147187556
0.0010030091111691661,1003.0091111691661,44640.62241893241,51921.50720070106
0.008733679968754631,8733.679968754632,44640.62241893241,51136.02857062427
-0.001989555493381542,-1989.5554933815417,44640.62241893241,50326.256787039936
0.016949558313773205,16949.558313773206,44640.62241893241,49491.44051530351
-0.019275720366255925,-19275.720366255926,44640.62241893241,48630.80518361648
0.01935730307076786,19357.30307076786,44640.62241893241,47941.95088866467
-0.011899529028874872,-11899.529028874871,44640.62241893241,47814.2690648095
0.004365919863848411,4365.919863848411,44640.62241893241,47682.638318567064
0.018809331957496293,18809.33195749629,44640.62241893241,47546.93651831712
0.012186473272161207,12186.473272161207,44640.62241893241,47407.037755172845
-0.019643424095906803,-19643.424095906805,44640.62241893241,47262.81222615813
0.010115348490355442,10115.348490355442,44640.62241893241,47114.12611377183
0.034242067573958646,34242.067573958644,44640.62241893241,46960.84146182719
-0.00023325428710504212,-233.25428710504212,44640.62241893241,46802.81604745127
-0.024401053231680438,-24401.05323168044,44640.62241893241,46639.903249125586
-0.02826832053033016,-28268.320530330162,44640.62241893241,46471.95191064549
0.01616347915024208,16163.479150242081,44640.62241893241,46298.806200872204
0.01806315096371861,18063.15096371861,44640.62241893241,46120.30546914716
-0.006109715467233833,-6109.715467233833,44640.62241893241,45936.28409623475
0.006188920251244104,6188.920251244104,44640.62241893241,45746.57134065494
0.012749051252161117,12749.051252161118,44640.62241893241,45550.99118026339
-0.03759988164897966,-37599.881648979666,44640.62241893241,45349.36214893188
0.009366444076676313,9366.444076676313,44640.62241893241,45169.08483413347
0.01864744446894703,18647.44446894703,44640.62241893241,45096.22804370662
-0.00951934841968707,-9519.34841968707,44640.62241893241,45021.117950483065
0.004953437574132809,4953.437574132809,44640.62241893241,44943.68486468559
-0.01601390137444669,-16013.90137444669,44640.62241893241,44863.856941183025
-0.01604518854910439,-16045.188549104389,44640.62241893241,44781.56011282987
-0.0010324315497296534,-1032.4315497296534,44640.62241893241,44696.71802174416
-0.019186153830950518,-19186.153830950516,44640.62241893241,44609.2519484599
-0.003943886443881554,-3943.8864438815535,44640.62241893241,44519.08073888851
-0.022312696607667847,-22312.696607667847,44640.62241893241,44426.120729021095
-0.0018892234043339606,-1889.2234043339606,44640.62241893241,44330.28566730211
0.028555212780662927,28555.212780662925,44640.62241893241,44231.48663460213
0.0028361714039837156,2836.1714039837157,44640.62241893241,44129.631961715546
0.04032541143486819,40325.41143486819,44640.62241893241,43995.74473423085
-0.00016002560443813832,-160.02560443813832,44640.62241893241,43826.39274139216
-0.0008805988640942152,-880.5988640942153,44640.62241893241,43651.80305805331
0.010833306522495407,10833.306522495408,44640.62241893241,43471.81369378645
0.0003168567833860853,316.8567833860853,44640.62241893241,43286.25764815051
0.003715566154493154,3715.566154493154,44640.62241893241,43094.96275574232
-0.022180580612773258,-22180.580612773258,44640.62241893241,42897.75152645553
0.016800395152729273,16800.395152729274,44640.62241893241,42694.44098079905
-0.01470497207782652,-14704.97207782652,44640.62241893241,42484.842480122265
-0.009382904719037426,-9382.904719037426,44640.62241893241,42268.761551589494
-0.010703153771286488,-10703.153771286488,44640.62241893241,42045.99770774128
0.00364866654653433,3648.66654653433,44640.62241893241,41816.344260475074
-0.004881560303985739,-4881.56030398574,44640.62241893241,41579.58812927281
-0.010749235302345573,-10749.235302345573,44640.62241893241,41335.50964349727
