Date,Last Price,High Price,Low Price,Open Price
10/7/2025,669.12,672.99,667.67,672.54
10/6/2025,671.61,672.51,669.455,671.62
10/3/2025,669.21,672.675,668.16,669.99
10/2/2025,669.22,670.565,666.78,670.45
10/1/2025,668.45,669.37,663.06,663.17
9/30/2025,666.18,666.65,661.61,662.93
9/29/2025,663.68,665.28,661.86,664.36
9/26/2025,661.82,662.37,657.88,659.51
9/25/2025,658.05,659.4056,654.405,657.94
9/24/2025,661.1,664.61,659.67,664.51
9/23/2025,663.21,667.34,661.98,666.72
9/22/2025,666.84,667.29,662.17,662.2
9/19/2025,663.7,664.55,660.37,662.33
9/18/2025,662.26,664.89,660.27,661.89
9/17/2025,659.18,661.72,654.3,660.01
9/16/2025,660,661.78,659.21,661.47
9/15/2025,660.91,661.04,659.34,659.64
9/12/2025,657.41,659.11,656.9,657.6
9/11/2025,657.63,658.33,653.59,654.18
9/10/2025,652.21,654.55,650.63,653.62
9/9/2025,650.33,650.86,647.22,648.97
9/8/2025,648.83,649.84,647.23,648.62
9/5/2025,647.24,652.21,643.33,651.48
9/4/2025,649.12,649.15,643.51,644.42
9/3/2025,643.74,644.21,640.46,642.67
9/2/2025,640.27,640.49,634.92,637.5
8/29/2025,645.05,647.84,643.14,647.47
8/28/2025,648.92,649.48,645.34,647.24
8/27/2025,646.63,647.37,644.42,644.57
8/26/2025,645.16,645.51,641.57,642.2
8/25/2025,642.47,645.29,642.35,644.04
8/22/2025,645.31,646.5,637.25,637.76
8/21/2025,635.55,637.97,633.81,636.28
8/20/2025,638.11,639.66,632.95,639.4
8/19/2025,639.81,644.105,638.48,643.12
8/18/2025,643.3,644,642.18,642.86
8/15/2025,643.44,646.09,642.5153,645.99
8/14/2025,644.95,645.62,642.34,642.79
8/13/2025,644.89,646.19,642.68,644.91
8/12/2025,642.69,642.85,636.79,638.29
8/11/2025,635.92,638.95,634.66,637.46
8/8/2025,637.18,637.645,633.74,634.06
8/7/2025,632.25,636.98,629.11,636.24
8/6/2025,632.78,633.44,628.13,629.05
8/5/2025,627.97,632.6052,627.04,631.79
8/4/2025,631.17,631.215,625.58,625.67
8/1/2025,621.72,626.34,619.29,626.3
7/31/2025,632.08,639.85,630.765,639.455
7/30/2025,634.46,637.68,631.54,635.92
7/29/2025,635.26,638.67,634.335,638.35
7/28/2025,636.94,638.04,635.54,637.48
7/25/2025,637.1,637.5799,634.84,635.09
7/24/2025,634.42,636.15,633.99,634.6
7/23/2025,634.21,634.21,629.73,631.55
7/22/2025,628.86,629.73,626.19,629.1
7/21/2025,628.77,631.54,628.34,628.77
7/18/2025,627.58,629.47,626.46,629.3
7/17/2025,628.04,628.4048,624.18,624.4
7/16/2025,624.22,624.73,618.05,623.74
7/15/2025,622.14,627.86,622.06,627.52
7/14/2025,624.81,625.1581,621.7999,623.16
7/11/2025,623.62,624.86,621.53,622.74
7/10/2025,625.82,626.8701,623.01,624.2
7/9/2025,624.06,624.72,620.9105,622.77
7/8/2025,620.34,622.11,619.52,621.35
7/7/2025,620.68,624.03,617.87,623.36
7/3/2025,625.34,626.28,622.43,622.45
7/2/2025,620.45,620.49,616.61,617.24
7/1/2025,617.65,618.83,615.52,616.36
6/30/2025,617.85,619.22,615.04,617.38
6/27/2025,614.91,616.39,610.83,612.88
6/26/2025,611.87,612.31,608.37,608.99
6/25/2025,607.12,608.61,605.54,607.91
6/24/2025,606.78,607.8499,603.41,604.33
6/23/2025,600.15,600.54,591.89,595.04
6/20/2025,594.28,599.46,592.86,598.38
6/18/2025,597.44,601.22,596.47,598.44
6/17/2025,597.53,601.75,596.76,600.21
6/16/2025,602.68,604.45,600.22,600.4
6/13/2025,597,601.85,595.48,598.5
6/12/2025,603.75,603.75,599.52,600.01
6/11/2025,601.36,605.06,599.27,604.19
6/10/2025,603.08,603.47,599.09,600.22
6/9/2025,599.68,601.25,598.49,599.72
6/6/2025,599.14,600.83,596.86,598.66
6/5/2025,593.05,599,591.05,597.63
6/4/2025,595.93,597.95,595.49,596.96
6/3/2025,596.09,597.08,591.85,592.34
6/2/2025,592.71,592.79,585.06,587.76
5/30/2025,589.39,591.1299,583.235,588.93
5/29/2025,590.05,593.2,586.07,593.06
5/28/2025,587.73,592.7688,586.985,591.56
5/27/2025,591.15,591.31,578.43,586.07
5/23/2025,579.11,581.8101,575.6,575.98
5/22/2025,583.09,586.62,581.405,582.66
5/21/2025,582.86,592.58,581.82,588.44
5/20/2025,592.85,594.05,589.6,593.09
5/19/2025,594.85,595.54,588.1,588.1
5/16/2025,594.2,594.5,589.28,591.25
5/15/2025,590.46,590.97,585.0969,585.56
5/14/2025,587.59,588.98,585.535,587.81
5/13/2025,586.84,589.08,582.84,583.41
5/12/2025,582.99,583,577.04,581.47
5/9/2025,564.34,567.5,562.7637,566.48
5/8/2025,565.06,570.31,561.7,565.24
5/7/2025,561.15,563.82,556.04,560.15
5/6/2025,558.8,563.3476,556.96,557.93
5/5/2025,563.51,566.65,561.7,562.57
5/2/2025,566.76,568.38,562.38,564.73
5/1/2025,558.47,564.0699,557.86,560.37
4/30/2025,554.54,556.52,541.52,547.57
4/29/2025,554.32,555.45,548.55,548.91
4/28/2025,550.85,553.55,545.02,551.39
4/25/2025,550.64,551.05,543.69,546.65
4/24/2025,546.69,547.43,535.4504,536.715
4/23/2025,535.42,545.43,533.88,540.43
4/22/2025,527.25,529.305,519.1925,520.14
4/21/2025,513.88,521.7,508.46,521.16
4/17/2025,526.41,531.165,523.91,527.64
4/16/2025,525.66,537.8854,520.29,531.68
4/15/2025,537.61,543.23,536.81,539.675
4/14/2025,539.12,544.28,533.86,544.05
4/11/2025,533.94,536.43,520.07,523.01
4/10/2025,524.58,533.495,509.32,532.17
4/9/2025,548.62,548.62,493.05,493.44
4/8/2025,496.48,524.98,489.16,521.86
4/7/2025,504.38,523.17,481.8,489.19
4/4/2025,505.28,525.87,505.06,523.67
4/3/2025,536.7,547.97,536.7,545.11
4/2/2025,564.52,567.42,554.81,555.05
4/1/2025,560.97,562.94,553.68,557.45
3/31/2025,559.39,560.7112,546.87,549.83
3/28/2025,555.66,566.2675,555.07,565.53
3/27/2025,567.08,570.9,564.94,567.18
3/26/2025,568.59,576.33,567.19,575.19
3/25/2025,575.46,576.41,573.69,575.3
3/24/2025,574.08,575.15,570.2,570.8
3/21/2025,563.98,564.89,558.03,559.28
3/20/2025,565.49,570.57,562.6012,563.33
3/19/2025,567.13,570.95,561.63,562.83
3/18/2025,561.02,565.02,559.06,564.8
3/17/2025,567.15,569.71,562.35,562.79
3/14/2025,562.81,563.83,551.4917,556.11
3/13/2025,551.42,559.105,549.68,558.49
3/12/2025,558.87,563.11,553.69,562.17
3/11/2025,555.92,564.02,552.02,559.4
3/10/2025,560.58,569.54,555.59,567.59
3/7/2025,575.92,577.39,565.63,570.9
3/6/2025,572.71,580.1736,570.12,575.48
3/5/2025,583.06,584.88,573.0795,576.69
3/4/2025,576.86,585.39,572.25,579.71
3/3/2025,583.77,597.34,579.9,596.18
2/28/2025,594.18,594.72,582.44,585.56
2/27/2025,585.05,598.02,584.65,596.85
2/26/2025,594.54,599.58,591.8556,595.93
2/25/2025,594.24,597.89,589.56,597.15
2/24/2025,597.21,603.03,596.49,602.02
2/21/2025,599.94,610.3,599.47,610.16
2/20/2025,610.38,611.684,607.02,611.54
2/19/2025,612.93,613.23,609.56,610.08
2/18/2025,611.49,611.49,608.38,610.88
2/14/2025,609.7,610.99,609.07,609.94
2/13/2025,609.73,609.94,603.2,604.48
2/12/2025,603.36,604.55,598.51,599.2
2/11/2025,605.31,605.86,602.43,602.55
2/10/2025,604.85,605.4999,602.74,604.03
2/7/2025,600.77,608.13,600.05,606.89
2/6/2025,606.32,606.4525,602.63,605.99
2/5/2025,604.22,604.37,598.58,600.64
2/4/2025,601.78,602.3,597.28,597.83
2/3/2025,597.77,600.29,590.49,592.67
1/31/2025,601.82,609.96,601.05,607.5
1/30/2025,605.04,606.6,600.715,603.96
1/29/2025,601.81,604.13,599.22,603.72
1/28/2025,604.52,605.37,597.25,600.62
1/27/2025,599.37,599.69,594.64,594.81
1/24/2025,607.97,610.78,606.8,609.81
1/23/2025,609.75,609.75,605.52,605.8
1/22/2025,606.44,607.82,605.36,605.92
1/21/2025,603.05,603.06,598.67,600.67
1/17/2025,597.58,599.36,595.61,596.96
1/16/2025,591.64,594.35,590.93,594.175
1/15/2025,592.78,593.94,589.195,590.325
1/14/2025,582.19,585,578.35,584.36
1/13/2025,581.39,581.75,575.35,575.77
1/10/2025,580.49,585.95,578.55,585.88
1/8/2025,589.49,590.5799,585.195,588.7
1/7/2025,588.63,597.75,586.78,597.42
1/6/2025,595.36,599.7,593.6,596.27
